what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250357173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250404476
error,log,,,"Unexpected runtime error while computing a text hover",1513250404771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513250407495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250420021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250469018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513250472823
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1513250476820
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1513250477228
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1513250477700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1513250478280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250504501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250514806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513250526182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250527398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250542134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513250548590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250549440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250734844
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1513250740782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1513250743190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250743916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513250753704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513250753719
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513250756435
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513250756471
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1513250756482
error,log,,,"Unexpected runtime error while computing a text hover",1513250759397
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513250759506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513250762069
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513250763572
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513250766811
